day_seq,day_label,date,week_range,state_label_ko,심리(Bear-Bull) 지수,참여 지수,post_count
1,1일차,2026-04-27,2026-04-27~2026-05-03,낙관,60.19,42.46,230
2,2일차,2026-04-28,2026-04-27~2026-05-03,신중,46.74,45.52,251
3,3일차,2026-04-29,2026-04-27~2026-05-03,낙관,63.88,38.57,267
4,4일차,2026-04-30,2026-04-27~2026-05-03,신중,48.21,39.66,261
5,5일차,2026-05-01,2026-04-27~2026-05-03,낙관,55.53,28.43,158
6,6일차,2026-05-02,2026-04-27~2026-05-03,낙관,73.89,31.65,71
