state_label_ko,start_date,end_date
공포,2026-03-22,2026-03-22
탐욕,2026-03-23,2026-03-25
공포,2026-03-26,2026-03-28
신중,2026-03-29,2026-03-29
낙관,2026-03-30,2026-04-01
신중,2026-04-02,2026-04-13
낙관,2026-04-14,2026-04-17
신중,2026-04-18,2026-04-20
낙관,2026-04-21,2026-04-21
신중,2026-04-22,2026-04-22
낙관,2026-04-23,2026-04-24
신중,2026-04-25,2026-04-26
낙관,2026-04-27,2026-04-27
신중,2026-04-28,2026-04-28
낙관,2026-04-29,2026-04-29
신중,2026-04-30,2026-04-30
낙관,2026-05-01,2026-05-02
