day_seq,day_label,date,week_range,state_label_ko,심리(Bear-Bull) 지수,참여 지수,post_count
1,1일차,2026-04-06,2026-04-06~2026-04-12,신중,43.05,43.22,178
2,2일차,2026-04-07,2026-04-06~2026-04-12,낙관,45.47,41.06,333
3,3일차,2026-04-08,2026-04-06~2026-04-12,낙관,48.18,43.02,435
4,4일차,2026-04-09,2026-04-06~2026-04-12,낙관,45.97,41.16,214
5,5일차,2026-04-10,2026-04-06~2026-04-12,낙관,46.17,46.18,219
6,6일차,2026-04-11,2026-04-06~2026-04-12,낙관,45.75,27.69,88
7,7일차,2026-04-12,2026-04-06~2026-04-12,신중,43.18,33.19,105
