rank,term,z
1,인스타,3.782
2,오라클,3.536
3,포폴,3.501
4,참고만,3.061
5,비난하,2.407
6,신인,2.214
7,이야기,2.212
8,영혼,2.003
9,음모론,2.003
10,코스피,1.937
