rank,term,z
1,한미반도체,5.631
2,반도체,4.009
3,연필,3.190
4,최고점,3.072
5,삼성전자,2.770
6,두에빌,2.731
7,해줬자나,2.731
8,매매법,2.682
9,수익중,2.682
10,누나,2.649
