rank,2025,2026,이벤트주간
1,인스타 (3.782),오라클 (3.521),알멘 (2.301)
2,오라클 (3.536),참고만 (3.142),노래 (1.876)
3,포폴 (3.501),인스타 (3.058),신나 (1.876)
4,참고만 (3.061),주식운세 (3.013),덕분에 (1.711)
5,비난하 (2.407),차익실현 (2.489),상황들 (1.711)
6,신인 (2.214),종가에 (2.348),아닌 (1.711)
7,이야기 (2.212),빠져있으면 (2.173),대우건설 (1.530)
8,영혼 (2.003),AI (1.983),말씀하시 (1.530)
9,음모론 (2.003),원유 (1.889),먹고 (1.530)
10,코스피 (1.937),구리 (1.881),Alex (1.324)
