label,kind,selection_group,x,y
슈카,member,anchor,-0.578999904380376,-0.35778222745569904
알상무,member,anchor,-0.8775213645412322,-0.6609719150895367
니니,member,anchor,-0.7971958648402494,-1.3283969364238593
근무,token,neighbor,-0.3008439269703832,-0.1937474442037744
유튜버,token,neighbor,-0.41663231496001557,-0.38599110722604896
생물유튜버,token,neighbor,-0.41366757354659667,-0.0505060980623521
개인리딩,token,neighbor,-0.6084705478021587,-0.3590775869296052
신탁,token,neighbor,-0.9239112571343964,-0.6126111514572905
코스피인버스,token,neighbor,-0.44909512529551016,-0.3283398192377082
매매법,token,neighbor,-0.784610025165462,-1.0878628529492371
누나,token,community,-0.8317217389765312,-1.3673053747778203
반도체누나,token,community,-0.6834608968281183,-0.9866790281305424
차트공부,token,community,-0.784822649413204,-0.8671517666081109
수익,token,market,-0.2735201016517359,0.04570273571202731
상승,token,market,0.5528660582527285,-0.6542366199617268
매수,token,market,-0.711301390160156,-0.01263377616444286
금리,token,macro,0.8678211930817533,1.2225349575889088
환율,token,macro,0.8497596917793773,0.8678634051964155
코스피,token,macro,0.08108700616323052,-1.297427237546088
분석,token,narrative,-0.16978138191662953,0.5384299480955301
차트,token,narrative,-1.1463707962747358,-0.6340152876021898
