rank,2025,2026,이벤트주간
1,배송 (3.706),현대차 (2.205),seoulwallstreet (3.064)
2,출판사 (2.618),자꾸 (2.110),필자 (3.064)
3,판매 (2.548),사람들 (1.827),하고싶다 (2.768)
4,현차 (2.267),장난 (1.648),리서치 (2.628)
5,가져감 (2.137),갑자기 (1.571),지원자 (1.260)
6,수수료 (2.134),사람 (1.571),가장 (1.110)
7,유튜브 (1.999),항상 (1.493),기술 (1.028)
8,항상 (1.966),그래 (1.491),기회 (0.938)
9,경우 (1.861),슈친 (1.491),AI (0.838)
10,대통령 (1.861),않아 (1.491),리스크 (0.838)
