period,rank,label,kind,candidate_group,recommended_keep,x,y
2025,1,슈카,member,anchor,yes,-0.5508096041463268,-0.14891947525678598
2025,2,근무,token,anchor_neighbor,yes,-0.2587883473121549,-0.08812891620267133
2025,3,유튜버,token,anchor_neighbor,yes,-0.35963812679487994,-0.2371978846533749
2025,4,생물유튜버,token,anchor_neighbor,yes,-0.26769379356054884,0.1539532943601216
2025,5,개인리딩,token,anchor_neighbor,yes,-0.6212776414886868,-0.17355388166627345
2025,6,취향,token,anchor_neighbor,yes,-0.33503639310274747,-0.06995343342969663
2025,7,알상무,member,anchor_neighbor,yes,-1.031739399496073,-0.5235369388698767
2025,8,신탁,token,anchor_neighbor,yes,-1.1298863844849376,-0.49428367504150267
2025,9,코스피인버스,token,anchor_neighbor,yes,-0.4231202152254606,-0.18019281664972883
2025,10,일루미나티,token,anchor_neighbor,yes,-0.5787183989797225,-0.4816644870241848
2025,11,한전기술,token,anchor_neighbor,yes,-0.5672273266360233,-0.40450808105380154
2025,12,숏돌이,token,anchor_neighbor,yes,-0.5159508820197026,-0.14942040097115708
2025,13,니니,member,anchor_neighbor,yes,-0.9689225373219112,-0.8672151190311382
2025,14,매매법,token,anchor_neighbor,yes,-0.9509085211742889,-0.7899424315741391
2025,15,누나,token,anchor_neighbor,yes,-1.023354112618101,-1.0197033579000876
2025,16,반도체누나,token,anchor_neighbor,yes,-0.7833785870671356,-0.7542001430724021
2025,17,탑승,token,anchor_neighbor,yes,-0.5895441547968997,-0.353496290694377
2025,18,차트공부,token,anchor_neighbor,yes,-0.8428440503553993,-0.5643245329613898
2025,19,예측,token,top_token,,-0.153918449825135,0.20162950864955684
2025,20,정확,token,top_token,,0.2981651182192418,0.4085227381205653
2025,21,도움,token,top_token,,-0.7430766106981732,0.9435117558024291
2025,22,신뢰,token,top_token,,1.2485842713991004,1.6072955814749326
2025,23,믿음,token,top_token,,-0.3594155027288375,-0.6463927195473177
2025,24,조언,token,top_token,,-0.7922340236425212,0.2174627651257324
2025,25,분석,token,top_token,,-0.13681770281919675,0.5049048294349607
2025,26,유익,token,top_token,,-0.35653533420953865,0.1255713700454317
2025,27,매수,token,top_token,,-0.6513131577687546,-0.14849006448827054
2025,28,매도,token,top_token,,-0.2832558075158095,-0.2573343182355001
2025,29,수익,token,top_token,,-0.16589828030204073,0.11783628738041614
2025,30,손절,token,top_token,,-0.800074932473211,-1.2380922848763938
2025,31,삼전,token,top_token,,-1.0045863810092959,-0.6874645562140487
2025,32,삼성전자,token,top_token,,-0.9423823766289066,-0.08657314327486766
2025,33,반도체,token,top_token,,-0.4177592657122137,-0.5529061615694522
2025,34,코스피,token,top_token,,-0.22970279032809848,-1.1949052703014285
2025,35,환율,token,top_token,,1.2072145746322318,0.8082304008146063
2025,36,금리,token,top_token,,1.2767997915900602,1.1008635548029173
2025,37,인플레이션,token,top_token,,1.738686708526411,0.9319874103623023
2025,38,위기,token,top_token,,1.4897178902120467,0.5707542960859434
2025,39,경고,token,top_token,,0.27671535351680376,0.4958633787050063
2025,40,투자자,token,top_token,,-0.13137238661191478,0.29681021686663805
2025,41,커뮤니티,token,top_token,,-0.7342367080618063,0.37209867473693303
2025,42,위폴,token,top_token,,-0.9788255305344475,0.4109165688803446
2025,43,알멘,token,top_token,,-1.2922186517223346,-0.41939480839134496
2025,44,인스타,token,top_token,,-0.8182391366804785,-0.8024640134211998
2025,45,니니누나,token,top_token,,-0.80573422211593,-0.7760196801709037
2025,46,생각,token,top_token,,-0.6607814275028862,0.18897138131309751
2025,47,사람,token,top_token,,-0.01231324060465525,0.014613664714116462
2025,48,상승,token,top_token,,0.6361592472886898,-0.5526814730487006
2025,49,가격,token,top_token,,0.24913747668513028,0.10289568323593987
2025,50,정부,token,top_token,,0.7759955233949556,1.1962957947405886
2025,51,종목,token,top_token,,-0.6725317782404447,-0.9108666999073339
2025,52,이유,token,top_token,,0.20631884308960544,0.4339997987639148
2025,53,오동석,token,top_token,,6.71984468355752,-2.9505670348586976
2025,54,상황,token,top_token,,0.7551114063989405,0.058996012970111894
2025,55,가능,token,top_token,,-0.23184865667372992,0.7005882089442043
2025,56,하락,token,top_token,,0.4803504406297133,-0.6067707390270273
2025,57,시작,token,top_token,,0.6593179528332581,-0.7351050359841669
2025,58,정리,token,top_token,,0.9368394967781778,-0.43449908008934335
2025,59,주가,token,top_token,,-0.2987314725309923,0.38203704066434424
2025,60,달러,token,top_token,,1.6827635997343915,1.0273108258853059
2025,61,차트,token,top_token,,-1.04667362486425,0.2575853010030733
2025,62,기업,token,top_token,,0.17340215353942773,1.6579211068522544
2025,63,국장,token,top_token,,-0.6392726056919141,-0.17298403655772826
