rank,2025,2026,이벤트주간
1,신탁 (0.8225),인스타 (0.7611),알멘 (0.9545)
2,코스피인버스 (0.8147),연금저축펀드 (0.7555),대우건설 (0.9419)
3,일루미나티 (0.8045),그날 (0.7547),노래 (0.9211)
4,한전기술 (0.8022),시초가 (0.7428),손절 (0.9045)
5,숏돌이 (0.8008),넷플릭스 (0.7390),삼전 (0.8812)
