rank,term,z
1,seoulwallstreet,3.064
2,필자,3.064
3,하고싶다,2.768
4,리서치,2.628
5,지원자,1.260
6,가장,1.110
7,기술,1.028
8,기회,0.938
9,AI,0.838
10,리스크,0.838
