rank,term,z
1,와따,2.159
2,갓황,1.525
3,걸었다,1.525
4,금액,1.525
5,만에,1.525
6,암튼,1.525
7,응원군,1.525
8,인생,1.525
9,인생건,1.525
10,평단,1.525
