rank,2025,2026,이벤트주간
1,매매법 (0.7977),변종 (0.8165),구조대 (0.9070)
2,누나 (0.7847),풀매수 (0.8123),삼성전자 (0.8900)
3,반도체누나 (0.7717),인증 (0.8096),매수 (0.8881)
4,탑승 (0.7646),사라 (0.8050),위폴 (0.8780)
5,차트공부 (0.7617),니니누나 (0.8008),대우건설 (0.8700)
