rank,term,z
1,현대차,2.205
2,자꾸,2.110
3,사람들,1.827
4,장난,1.648
5,갑자기,1.571
6,사람,1.571
7,항상,1.493
8,그래,1.491
9,슈친,1.491
10,않아,1.491
