rank,term,z
1,오라클,3.521
2,참고만,3.142
3,인스타,3.058
4,주식운세,3.013
5,차익실현,2.489
6,종가에,2.348
7,빠져있으면,2.173
8,AI,1.983
9,원유,1.889
10,구리,1.881
