member,rank,neighbor,cosine
슈카,1,용서,0.8545
슈카,2,꺼드럭,0.8249
슈카,3,채널,0.8218
슈카,4,피자,0.8163
슈카,5,공유,0.8021
알상무,1,인스타,0.7611
알상무,2,연금저축펀드,0.7555
알상무,3,그날,0.7547
알상무,4,시초가,0.7428
알상무,5,넷플릭스,0.7390
니니,1,변종,0.8165
니니,2,풀매수,0.8123
니니,3,인증,0.8096
니니,4,사라,0.8050
니니,5,니니누나,0.8008
