rank,term,z
1,눈나,2.738
2,매매법,2.144
3,그러다,2.111
4,한미반도체,1.957
5,반도체,1.947
6,누나,1.924
7,시작함,1.924
8,인버스,1.924
9,꿈이라도,1.750
10,어딜까,1.750
