rank,term,z
1,알멘,2.301
2,노래,1.876
3,신나,1.876
4,덕분에,1.711
5,상황들,1.711
6,아닌,1.711
7,대우건설,1.530
8,말씀하시,1.530
9,먹고,1.530
10,Alex,1.324
