rank,2025,2026,이벤트주간
1,한미반도체 (5.631),눈나 (2.738),와따 (2.159)
2,반도체 (4.009),매매법 (2.144),갓황 (1.525)
3,연필 (3.190),그러다 (2.111),걸었다 (1.525)
4,최고점 (3.072),한미반도체 (1.957),금액 (1.525)
5,삼성전자 (2.770),반도체 (1.947),만에 (1.525)
6,두에빌 (2.731),누나 (1.924),암튼 (1.525)
7,해줬자나 (2.731),시작함 (1.924),응원군 (1.525)
8,매매법 (2.682),인버스 (1.924),인생 (1.525)
9,수익중 (2.682),꿈이라도 (1.750),인생건 (1.525)
10,누나 (2.649),어딜까 (1.750),평단 (1.525)
