member,rank,neighbor,cosine
슈카,1,근무,0.7700
슈카,2,유튜버,0.7614
슈카,3,생물유튜버,0.7575
슈카,4,개인리딩,0.7475
슈카,5,취향,0.7361
알상무,1,신탁,0.8225
알상무,2,코스피인버스,0.8147
알상무,3,일루미나티,0.8045
알상무,4,한전기술,0.8022
알상무,5,숏돌이,0.8008
니니,1,매매법,0.7977
니니,2,누나,0.7847
니니,3,반도체누나,0.7717
니니,4,탑승,0.7646
니니,5,차트공부,0.7617
