label,x,y,kind
슈카,-0.5508096041463268,-0.14891947525678598,member
근무,-0.2587883473121549,-0.08812891620267133,token
유튜버,-0.35963812679487994,-0.2371978846533749,token
생물유튜버,-0.26769379356054884,0.1539532943601216,token
개인리딩,-0.6212776414886868,-0.17355388166627345,token
취향,-0.33503639310274747,-0.06995343342969663,token
알상무,-1.031739399496073,-0.5235369388698767,member
신탁,-1.1298863844849376,-0.49428367504150267,token
코스피인버스,-0.4231202152254606,-0.18019281664972883,token
일루미나티,-0.5787183989797225,-0.4816644870241848,token
한전기술,-0.5672273266360233,-0.40450808105380154,token
숏돌이,-0.5159508820197026,-0.14942040097115708,token
니니,-0.9689225373219112,-0.8672151190311382,member
매매법,-0.9509085211742889,-0.7899424315741391,token
누나,-1.023354112618101,-1.0197033579000876,token
반도체누나,-0.7833785870671356,-0.7542001430724021,token
탑승,-0.5895441547968997,-0.353496290694377,token
차트공부,-0.8428440503553993,-0.5643245329613898,token
예측,-0.153918449825135,0.20162950864955684,token
정확,0.2981651182192418,0.4085227381205653,token
도움,-0.7430766106981732,0.9435117558024291,token
신뢰,1.2485842713991004,1.6072955814749326,token
믿음,-0.3594155027288375,-0.6463927195473177,token
조언,-0.7922340236425212,0.2174627651257324,token
분석,-0.13681770281919675,0.5049048294349607,token
유익,-0.35653533420953865,0.1255713700454317,token
매수,-0.6513131577687546,-0.14849006448827054,token
매도,-0.2832558075158095,-0.2573343182355001,token
수익,-0.16589828030204073,0.11783628738041614,token
손절,-0.800074932473211,-1.2380922848763938,token
삼전,-1.0045863810092959,-0.6874645562140487,token
삼성전자,-0.9423823766289066,-0.08657314327486766,token
반도체,-0.4177592657122137,-0.5529061615694522,token
코스피,-0.22970279032809848,-1.1949052703014285,token
환율,1.2072145746322318,0.8082304008146063,token
금리,1.2767997915900602,1.1008635548029173,token
인플레이션,1.738686708526411,0.9319874103623023,token
위기,1.4897178902120467,0.5707542960859434,token
경고,0.27671535351680376,0.4958633787050063,token
투자자,-0.13137238661191478,0.29681021686663805,token
커뮤니티,-0.7342367080618063,0.37209867473693303,token
위폴,-0.9788255305344475,0.4109165688803446,token
알멘,-1.2922186517223346,-0.41939480839134496,token
인스타,-0.8182391366804785,-0.8024640134211998,token
니니누나,-0.80573422211593,-0.7760196801709037,token
생각,-0.6607814275028862,0.18897138131309751,token
사람,-0.01231324060465525,0.014613664714116462,token
상승,0.6361592472886898,-0.5526814730487006,token
가격,0.24913747668513028,0.10289568323593987,token
정부,0.7759955233949556,1.1962957947405886,token
종목,-0.6725317782404447,-0.9108666999073339,token
이유,0.20631884308960544,0.4339997987639148,token
오동석,6.71984468355752,-2.9505670348586976,token
상황,0.7551114063989405,0.058996012970111894,token
가능,-0.23184865667372992,0.7005882089442043,token
하락,0.4803504406297133,-0.6067707390270273,token
시작,0.6593179528332581,-0.7351050359841669,token
정리,0.9368394967781778,-0.43449908008934335,token
주가,-0.2987314725309923,0.38203704066434424,token
달러,1.6827635997343915,1.0273108258853059,token
차트,-1.04667362486425,0.2575853010030733,token
기업,0.17340215353942773,1.6579211068522544,token
국장,-0.6392726056919141,-0.17298403655772826,token
정치,0.9317938732308121,1.1907555057038919,token
구간,1.3237157448476558,-1.2482325192835293,token
일본,1.3064816700106365,1.78050800862344,token
이상,0.4030911354757441,2.039596225573536,token
결과,0.5567898684915228,2.322123702019923,token
가치,0.7131727674648064,1.2541205824777786,token
변동,1.1124189425316329,-2.154545969834519,token
