label,x,y,kind
슈카,0.697033341683766,0.8502294132073004,member
용서,0.13208081157266208,0.26586907247066555,token
꺼드럭,0.614201035592439,0.48135573824776484,token
채널,0.6773211818222368,0.6690123792157281,token
피자,0.11093228245218224,0.6970068290716833,token
공유,0.6179487424163065,1.000326598623367,token
알상무,1.3042037184215873,0.48103857843746367,member
인스타,1.6348594149305051,-0.150046473668763,token
연금저축펀드,0.9287546696670149,-0.03168611610569354,token
그날,0.5600233774275248,-0.009473013335894257,token
시초가,0.7570798112701271,0.3363932192125652,token
넷플릭스,0.5868304071067344,0.22406326237760676,token
니니,1.11147142421158,-0.1377932691381629,member
변종,0.34762691848490074,0.02162812099115861,token
풀매수,0.5640096281366909,-0.09794530370714978,token
인증,1.1110131107431664,-0.051422765128436805,token
사라,0.5365383823720047,0.1551494602000657,token
니니누나,0.6765025501142241,0.4101050577208675,token
리서치,-0.06578812563170759,0.24406334674032304,token
예측,0.4679689656445634,-0.9249809449774415,token
정확,-1.0076103075328295,0.6039345762541282,token
도움,0.28729151071503617,1.0237034167635186,token
신뢰,-0.7547418712985576,0.3116169122814216,token
믿음,-0.5304121564472112,-0.35024712069687014,token
조언,1.0338279653384213,-0.6117319022277983,token
분석,-1.1138277377849373,0.02513223149438348,token
매수,1.3244746305265231,-1.371725739992659,token
매도,0.9115887415571887,-0.6579417127494319,token
수익,0.38472494999566187,-0.32039055040474856,token
손절,0.39188579463955747,-0.003121758280864243,token
삼전,1.8911598362440782,0.8039204278590993,token
삼성전자,1.0132799561144517,-1.3675378440573127,token
반도체,1.0051356290051652,-0.9163491669018085,token
코스피,1.1553622269953563,-0.6777383990531531,token
환율,-1.2236434308686126,1.1780761523194963,token
금리,-1.4837382315175762,1.2423489273723434,token
인플레이션,-1.2149941358461909,0.6783705492170968,token
위기,-1.6810117133133924,-0.5055465792709581,token
경고,0.15113089106167166,-0.2374367358479077,token
투자자,-0.09997532100844454,-1.890327538357051,token
커뮤니티,-0.019962432010357915,0.674806856931905,token
위폴,0.9411341030071371,1.1127400242917302,token
알멘,-0.009709206603979772,0.04923488739014456,token
유튜버,0.3951642421624492,0.32444673794936885,token
매매법,0.7939519976613455,0.10587237222697891,token
누나,0.4587324169382197,0.25896540405910384,token
반도체누나,0.35156536233961755,-0.0020978617019028964,token
생각,0.4951389521665792,0.14709205289063587,token
기업,-1.1226530486313515,-1.2803634484995279,token
질문,-1.7503348986280727,0.10018249010699569,token
정치,-1.4271479159630893,-1.0150263026385806,token
사람,0.10801505088356886,0.9429659469405755,token
가능,-0.26456245364130193,-0.8908302997953843,token
정부,-1.595440643016612,-0.643224795026963,token
이유,-0.7812805387980732,1.0468444047315681,token
결론,-2.4249127012531004,-0.3853585137410244,token
국가,-1.6508225867700352,-1.0987775765198677,token
시작,-0.21845769658437997,0.4815199309738344,token
쿠팡,-1.510895005130686,0.08517626398664273,token
이익,-0.8648584768522355,-2.346377804376105,token
지적,-1.646280485051735,0.42423679185816326,token
정리,0.6161870296250376,1.5135282223897657,token
요약,-0.9704875187428171,-0.1834090820067337,token
상황,-0.5909651445669605,-0.4650189798466874,token
결과,-1.7599461500295095,-0.18881811862437822,token
달러,-1.5158217567563885,2.0030436070788493,token
미래,-0.018678788524952257,-0.4172744803769995,token
트럼프,0.03424815703538403,-0.565640069891751,token
국장,1.1586714532777518,-1.5207996248986146,token
종목,0.979889807444678,0.34245962796231205,token
