label,x,y,kind
슈카,0.2725006620534502,0.4214508953284365,member
리서치,0.40204961353449464,0.6611724809504965,token
지배,0.301364043831279,0.37480896217628645,token
조언,0.5213055782553351,0.682588485423815,token
믿음,0.1324784935516877,0.3341270734609341,token
도움,0.2912522640657612,0.15572342748017998,token
알상무,-0.41291578554720343,-0.9243652418871317,member
알멘,-0.05648682686413296,-0.39721996217787076,token
대우건설,-0.10215738712577986,-0.5485377361544411,token
노래,0.06707801006032063,-0.2764999268188627,token
손절,-0.039239323122140124,-0.6715884808237155,token
삼전,0.18292601933666044,-1.1482714589906813,token
니니,-0.031822415145557156,-0.4614440806969246,member
구조대,-0.011364015740585022,-0.29200812256862946,token
삼성전자,0.07834121516016902,-0.16715624652430006,token
매수,0.16937346319360577,-0.8265833477453479,token
위폴,0.12319813165077083,-0.22063369354255524,token
대우건설,-0.10215738712577987,-0.5485377361544412,token
예측,-0.6007368644923551,0.21208887713233623,token
정확,0.35144130026636555,0.10846743629099567,token
신뢰,0.34883286437763805,0.9499210988320544,token
분석,0.6348581137236078,0.6827451384332034,token
수익,-1.058115563859995,-0.39986368216929613,token
반도체,0.23490167448583105,-0.2805527250505667,token
금리,-0.0763063538484336,-1.2449185453932452,token
인플레이션,1.2449007430472583,-1.7509131191390743,token
위기,0.3493040001858735,-0.7547366733852284,token
경고,0.32355170867751587,-0.6190484556894151,token
투자자,0.003932181431101803,-0.020310059088829487,token
사람,0.2123668658185123,0.6980549328393353,token
회사,-2.2477826486144052,0.740228400954674,token
기업,-0.6676390986924197,0.06226990454455863,token
고객,-0.06718736843893168,1.850924051374263,token
자신,-0.06956145171867233,1.1348578586746287,token
막대,-0.6956292185431573,-0.1801997160539821,token
별명,-3.48816626135284,-0.29130968382777295,token
직급,-3.3820292923378643,0.031222560420151348,token
인간,0.8997370302872102,1.6539266265354702,token
지정학,0.5966138570941298,-0.8890593416011457,token
기술,-0.11529643499318935,0.8544353746363933,token
시작,-0.34646916006933753,-0.7434903423085214,token
요약,0.1851935607681367,0.22736455217303256,token
성장,0.5020759295685557,0.007322685315966055,token
위험,-0.09431092030167766,-0.5355300114058936,token
시대,-0.1851531851129437,0.7280105348182762,token
단순,0.4392414040563613,0.7204527513958274,token
성공,0.3613526969537898,0.4821412564975717,token
중요,0.6315759880025132,0.9090030246703696,token
비트코인,-0.5046289260916667,-0.014832381436874676,token
상황,0.779610645758715,-1.1155097537033551,token
강조,0.6244274363092825,1.0908322295268114,token
데이터,0.3909527984576351,1.5068171049599812,token
역사,0.37841427029130875,-0.5654866039146452,token
거대,0.6092973927660614,-0.21776383503597316,token
진행,0.40165102630285465,0.18053681207323216,token
결정,0.027960222937956594,0.690877040019852,token
현실,0.6209731525680482,-0.9298620788737004,token
집중,0.7312320028170969,0.2945897550194653,token
미래,0.016629370640528534,0.5216960228954032,token
가격,0.8350197700546296,-0.9127073583133849,token
직원,-1.0797391226094322,1.615093772989606,token
압도,0.4334785064874165,0.30502239258060204,token
자산,-0.29225504750185505,-0.8028884667412183,token
강력,0.8160990428415974,0.7537132030171342,token
가능,0.7868189308730741,0.1274166536425838,token
중국,1.2463446007559513,-1.019972278757868,token
발생,0.3928262960354247,-0.704190704636641,token
한계,0.9062108100362554,0.19654513301962498,token
사모펀드,-0.9818670154532433,-1.242839435343382,token
창립자,-3.1506766146681753,-0.2476172241486437,token
